Название,Текст
"Adaptiv - успокаивающие капсулы","Успокаивающие капсулы «Адаптив» от dōTERRA сочетают в себе успокаивающие свойства специально отобранных сертифицированных чистых эфирных масел терапевтического класса с клинически изученными растительными компонентами. Поддерживающая и расслабляющая формула этой смеси ингредиентов помогает получить заряд сил и энергии, если вам необходимо приспособиться к стрессовой ситуации или новым условиям.

Успокаивающие капсулы «Адаптив» - одно из лучших средств, которое помогает справиться с последствиями повседневного напряжения, чувством тревоги и беспокойства.

Основные преимущества:

✔️ Успокаивает и вызывает позитивные эмоции
✔️ Поднимает настроение и способствует улучшению душевного состояния
✔️ Помогает приспособиться к новым условиям и стрессовым ситуациям
✔️ Способствует релаксации
✔️ Поддерживает когнитивную функцию и эмоциональное равновесие
✔️ Обеспечивает хорошее психологическое самочувствие

🌿 Состав:
Смесь сертифицированных чистых эфирных масел терапевтического класса лаванды, кориандра, дикого апельсина и фенхеля, а также масло канны, ГАМК и масло из семян воробейника полевого.

Травяной экстракт канны получают из сочного растения, произрастающего в ЮАР. Экстракт канны получают с одобрения обладателей знаний коренных народов юга Африки. Уникальный фитохимический ингредиент, который содержится в экстракте канны создает ощущение «бдительной безмятежности». Экстракт помогает спокойно реагировать на повседневные факторы стресса и создает ощущение счастья и благополучия.

Успокаивающий нейротрансмиттер, ГАМК, также оказывает расслабляющее действие. ГАМК обладает естественным успокоительным эффектом и помогает бороться с чувством настороженности и страха, снижая возбудимость нейронов. Кислоту иногда называют «тормозом мозга», потому что она снижает активность нейронов мозга и центральной нервной системы, она переключает работу мозга и всего организма на более низкую передачу. Подавляя активность нейронов, ГАМК снижает умственное и физическое напряжение.

✅ Способ применения:

Принимайте по одной успокаивающей капсуле «Адаптив» каждый день для борьбы со стрессом, напряжением и чувством тревоги.

⚠️ Меры предосторожности
Хранить в недоступном для детей месте. Беременным, кормящим и людям, находящимся под наблюдением врача, необходимо проконсультироваться со своим лечащим врачом. Не используйте, если повреждена или вскрыта защитная пленка. Хранить в прохладном сухом месте.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"PB Assist комплекс про- и пребиотиков","«Пи-Би Ассист» – это уникальный, безопасный и эффективный способ доставки пробиотиков для поддержки здоровья пищеварительной и иммунной систем. «Пи-Би Ассист» является запатентованной формулой, содержащей специальную клетчатку (пребиотик) и шесть штаммов дружественных кишечнику микроорганизмов (пробиотик),которые заключены в двухслойные растительные капсулы.

Каждая капсула обеспечивает 5 миллиардов КОЕ/г (колониеобразующих единиц) активных пробиотических культур, а также растворимые пребиотические фруктоолигосахариды, которые способствуют росту этих культур.

Двухслойная капсула и технология Time-Release (Система отсроченного высвобождения содержимого из двуслойной капсулы) предназначены для защиты чувствительных пробиотических культур от желудочной кислоты.

ДОСТОИНСТВА:

✅ Помогает поддерживать положительный баланс и размножение дружественной микрофлоры кишечника.
✅ Создает благоприятную среду обитания для дружественных бактерий.
✅ Поддерживает здоровье желудочно-кишечного тракта, особенно тонкого и толстого кишечника.
✅ Способствует укреплению иммунитета и здоровью пищеварительной системы.
✅ Помогает поддерживать оптимальный обмен веществ и усвоение полезных микронутриентов.
✅ Подходит для вегетарианцев.
✅ Не содержит ГМО, глютена.

СОСТАВ:

🌿Пробиотическая смесь: L-ацидофилус, B-лактис, L-саливарис, L-казеи, B-бифидум, B-лонгум – 5 млд КОЕ/г; 

🌿Пребиотики: фруктоолигосахариды – 50 мг. 

🌿Вспомогательные ингредиенты: глицерин растительный, гипромеллоза,
растительный, гипромеллоза растительная, целлюлоза растительная, магния стеарат, кремния диоксид, хлорофиллин.

Применение:

✔️Чтобы способствовать и поддерживать оптимальный уровень колонизации дружественной микрофлоры, принимать с едой по 1 капсуле 3 раза в день в течение 10 дней каждого месяца.

✔️ При необходимости (например, после стрессов, пищевых отравлений, после курсов антибиотиков)принимать ежедневно в течение 3-6 месяцев подряд.

⚠️ ПРЕДОСТЕРЕЖЕНИЯ
Беременным и людям, находящимся под наблюдением врача, проконсультироваться со своим врачом.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Майоран ","Майоран - главное средство для ПОНИЖЕНИЯ либидо! Вы знали об этом? 

Химический состав: содержит около 60 активных компонентов! Терпинен - 4ол 10-35%, карвакрол до 30%, альфа - терпинен и пара - цимол 27%, линалоол 20% и другие 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️бактерицидное 
✔️противовирусное 
✔️успокаивающее 
✔️расслабляющее 
✔️спазмолитическое 
✔️противовоспалительное 
✔️гипотензивное 
✔️отхаркивающее 
✔️стимулирует аппетит 
✔️стимул секретно-моторной функции ЖКТ
✔️антиоксидант 
✔️стимулирует менструации 
✔️стимул местное кровообращение 
✔️нормализует деятельность ЦНС 
✔️обезболивает 
✔️желчегонное / мочегонное 
✔️снижает секрецию сальных желёз 
✔️противоопухолевое 
✔️снижает либидо 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️недоверчивость 
✔️самосаботаж 
✔️эмоциональную отчужденность 
✔️затворничество 
✔️ боязнь отвержения 

Развивает: 
✔️эмоциональная открытость 
✔️близкие отношения
✔️отзывчивость 
✔️способность любить и доверять

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Пачули ","Пачули - масло из группы мужских архетипов, самое «денежное» масло

Химический состав: пачулол 27-35%, нор - пачуленол 0,2-1%, альфа-пачулен 3-6%, бета-пачулен 1,8-3,5%, альфа-гвайен 11-16%, кариофиллен 2-5%, бульнесен 13-21%, сейшелен 7-10%

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️фунгицидное 
✔️антисептик 
✔️расслабляющее 
✔️афродизиак 
✔️антидепрессант 
✔️противовоспалительное 
✔️нормализует аппетит (ингалляционно - снижает, внутренне - повышает)
✔️нормализует СМ функцию ЖКТ 
✔️увлажняет кожу 
✔️регенерирующее 
✔️седативное 
✔️антиоксидант 
✔️мочегонное 
✔️иммуномодулятор
✔️ дезодорирующее

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️стыд и осуждение тела 
✔️разобщённость с телом 
✔️незаземленность 
✔️напряжение 

Развивает: 
✔️заземленность
✔️уверенность 
✔️единство и принятие тела 
✔️умеренность 
✔️сбалансированность 
✔️физическая выразительность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Петитгрейн ","Петитгрейн - эфирное масло из листьев и веток дикого апельсина 🍃

Химический состав: линалилацетат 46%, линалоол 25%, геранилперилацетат 7%, гераниол и нерол 3%, альфа-терпениол 6%, лимонен 2-4% 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️антиоксидант
✔️анксиолитик 
✔️стабилизатор эфир сферы 
✔️антисклеротическое 
✔️нормализует формулу крови 
✔️нормализует деятельность сальных желёз 
✔️фунгицидное 
✔️антибактериальное 
✔️общеукрепляющее 
✔️успокаивающее 
✔️антиаритмическое 
✔️дезодорирующее 
✔️улучшает микроциркуляцию 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️отречение от предков 
✔️повторение негативных семейных стереотипов 
✔️чувство долга 
✔️рядовой позор 
✔️верность нездоровым традициям 

Развивает: 
✔️новаторство 
✔️разрыв шаблонов 
✔️культивирование здоровых традиций 
✔️принятие положительных семейных связей

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Мирра","Мирра - древнейшее эфирное масло, добываемое из смолы дерева Commiphora myrrha

Химический состав: сексвитерпеновые углеводороды 18%, уксусная кислота, муравьиный, миррисовый, пальмитиновый, тритерпеновый спирты, альдегиды, сахара, фенолы, смолы, терпены и др.

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️психотропное (транквилизатор и антидепрессант) 
✔️фунгицидное 
✔️гармонизирует эмоции 
✔️фунгицидное 
✔️отхаркивающее 
✔️антисептическое 
✔️иммуномодулятор 
✔️регенерирующее 
✔️улучшает микроциркуляцию 
✔️нормализует кислотность желудка 
✔️нормализует менструальный цикл 
✔️тонизирующее 
✔️расслабляющее 
✔️противовоспалительное 
✔️антисептическое 
✔️увлажняет кожу 
✔️укрепляет волосы 
✔️рассасывает рубцовую ткань 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️разорванная материнская связь 
✔️недоверчивость 
✔️брошенность 
✔️жестокий мир вокруг 
✔️недокормленность 

Развивает: 
✔️ощущение безопасности 
✔️здоровая привязанность 
✔️доверие 
✔️связь с землей 
✔️долюбленность 
✔️заземление

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
" Alpha CRS+ для повышения клеточной энергии","Входит в легендарный комплекс Долгожитель (Life Long Vitality) 

Обеспечивает антиоксидантную защиту клеточной ДНК и других важных клеточных структур. Поддерживает здоровый обмен веществ в клетках и процессы естественной регенерации. 

ALPHA CRS+ улучшает выработку энергии митохондриями, а также способствует адекватной клеточной реакции на воспалительные процессы. Содержит особые растительные экстракты, каротиноиды и полифенолы и другие природные вещества для увеличения клеточной энергии.

Основные преимущества:

✅ Поддерживает здоровую функцию клеток, снижая влияние окислительного стресса на ДНК и на другие важнейшие клеточные структуры.
✅ Поддерживает здоровую реакцию клеток на окислительный стресс.
✅ Поддерживает клеточную энергию, активируя деятельность митохондрий и обеспечивая эффективное количество метаболических факторов для производства энергии.
✅ Поддерживает крепкий клеточный иммунитет.
✅ Поддерживает ясность ума и работу мозга.

Содержит уникальный особый комплекс антиоксидантов, разработанный doTERRA для продления жизни клеток, в состав которого входит большое количество мощных полифенолов, включая байкалин из корня шлемника, ресвератрол из горца японского, эллаговую кислоту из граната, проантоцианиды из виноградных косточек, куркумин из корня куркумы и силимарин из расторопши, поддерживающих здоровую функцию клеток.

Содержит стандартизованный экстракт босвеллии, поддерживающий здоровую функцию клеток благодаря босвеллиевым кислотам.

Содержит стандартизованный экстракт Гинкго Билоба, поддерживающий ясность ума и функцию мозга. Включает большое количество элементов, способствующих образованию клеточной энергии (коэнзим Q10, кверцетин, альфа-липоевая кислота и ацетил-L-карнитин).

Растительные капсулы не содержат лаурилсульфат натрия, а также молока, пшеницы и продуктов животного происхождения Содержит смесь растительных экстрактов для поддержания нормального функционирования желудка.

Специально разработан для ежедневного употребления в сочетании с xEO Mega® или vEO Mega® и Microplex VMz® в качестве биодобавки широкого спектра действия для обеспечения жизненной активности и здоровья.

🌿 Применение:

Взрослым целесообразно принимать 1- 3 капсулы в день во время еды. Комплекс Alpha CRS+ разработан для ежедневного применения совместно с xEO Mega и Microplex VMz. Эти три продукта можно найти в одном удобном наборе — Долгожитель комплекс Lifelong Vitality Pack.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"xEO Mega жирные кислоты","Входит в легендарный комплекс Долгожитель (Life long Vitality)
 
xEO Mega — уникальный комплекс, включающий сертифицированные чистые эфирные масла подтвержденного качества и уникальную смесь омега жирных кислот морского и растительного происхождения.
Омега жирные кислоты помогают поддерживать здоровье суставов, мозга, сердечно-сосудистой и иммунной систем. Одна порция xEO Mega содержит 900 миллиграммов морских липидов (300 мг ЭПК, 300 мг ДГК и 60 мг других омега-3 кислот) и 250 мг жирных кислот растительного происхождения.
В состав xEO Mega также входят 20 мкг натурального витамина D, 40 мкг натурального витамина Е и 1 мг астаксантина, мощного антиоксидантного каротиноида, получаемого из микроводорослей.

Основные преимущества:

🌿Поддерживает здоровье сердечно-сосудистой системы.
🌿Поддерживает здоровье суставов.
🌿Содержит вещества, благотворно действующие на иммунную систему.
🌿Защищает от окисления липидов и поддерживает здоровое функционирование мозга, глаз и нервной системы.
🌿Придает коже здоровый вид.
🌿Одна ежедневная порция содержит 900 мг чистого, концентрированного, молекулярнофильтрованного и полностью дезодорированного рыбьего жира — 300 мг ДГК и 300 мг ЭПК, а также 65 мг других омега-3 жирных кислот.
🌿Содержит широкий спектр омега-3 жирных кислот, включая ЭПК, ДГК, альфа-линолевую и стеаридоновую кислоты, морского и растительного происхождения для поддержания здорового баланса этих жизненно важных питательных веществ.
🌿Включает мощный антиоксидантный каротиноид астаксантин.
🌿В состав комплекса также входит специально разработанная / эксклюзивная смесь сертифицированных чистых эфирных масел подтвержденного качества dōTERRA: масла гвоздики, ладана, тимьяна, тмина, дикого апельсина, мяты перечной, имбиря, тмина и Римская ромашка ромашки.
🌿Включает 20 мкг натурального витамина D и 40 мкг натурального витамина Е.
🌿Не содержит глютен и лактозу.

Специально разработан для ежедневного применения совместно с Microplex VMz и Alpha CRS+ в качестве комплексной биодобавки для обеспечения жизненной активности и поддержания здоровья.

Применение:
✔️Взрослым принимать по 1 капсуле 2 раза в день во время еды. xEO Mega разработан для ежедневного использования совместно с Microplex VMz® и Alpha CRS®+. 

📦Условия хранения
Хранить в сухом, защищенном от света и недоступном для детей месте, при температуре не выше +25°С.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Microplex VMz  Питательный комплекс","Входит в легендарный комплекс Долгожитель (Life Long Vitality)

doTERRA Microplex VMz– питательный комплекс биодоступных витаминов и минералов, которых недостает в нашем повседневном питании. 

Комплекс включает сбалансированную смесь основных витаминов А, С и Е, обладающих антиоксидантными свойствами, и энергетический комплекс витаминов группы В, представленных в форме запатентованной гликопротеиновой матрицы. 

Microplex VMz также содержит хелатные формы минералов, в том числе кальций, магний и цинк, для укрепления костной ткани и улучшения обмена веществ. Microplex VMz включает в себя разработанную doTERRA смесь мяты перечной, имбиря и тмина для чувствительного желудка, на который другие витаминные и минеральные продукты могут оказывать раздражающее действие. Microplex VMz имеет форму растительных капсул, не содержащих лаурилсульфат натрия.

Включает универсальную растительную смесь: капуста, одуванчик, петрушка, бурые водоросли, брокколи, брюссельская капуста, шпинат.

Содержит комплекс пищеварительных ферментов, в том числе: протеазу, лактазу, липазу, амилазу, α-галактозидазу, диастазу, глюкоамилазу и пептидазу.

Основные преимущества:

🌿 Содержит 22 разновидности основных витаминов и минералов для поддержания нормального роста, функционирования и восстановления клеток.
🌿 Предотвращает образование свободных радикалов благодаря антиоксидантным свойствам витаминов A, C и E.
🌿 Поддерживает здоровый обмен веществ и выработку клеточной энергии.
🌿 Поддерживает здоровье костей благодаря содержанию кальция, магния, цинка и витамина D.
🌿 Поддерживает здоровье иммунной системы.
🌿 Способствует здоровому пищеварению.
🌿 Благодаря оптимальному содержанию необходимых питательных веществ обеспечивает жизненную энергию и хорошее самочувствие.
🌿 Содержит натуральный фолат, получаемый из лимонной кожуры.

✅ Способы применения:

Для взрослых: принимать 1-3 капсулы в день во время еды. Комплекс Microplex VMz разработан для ежедневного применения совместно с doTERRA Alpha CRS+®. (Прием совместно с жирными кислотами, содержащимися в doTERRA xEO Mega™, способствует усвоению жирорастворимых витаминов в составе Microplex VMz.)

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Serenity в капсулах для спокойного сна","Комплекс для спокойного сна doTERRA Serenity - это уникальная комбинация эфирного масла лаванды и натуральных экстрактов растений в растительных капсулах. Эта смесь обеспечит вам спокойный, восстанавливающий сон, и на следующий день вы не будете испытывать вялость и сонливость.

Комплекс doTERRA Serenity включает в себя эфирное масло лаванды, известное своими расслабляющими свойствами, а также L-теанин, мелиссу, пассифлору и ромашку для мягкого расслабления и спокойного сна.

Основные преимущества:

✔️Помогает бороться с бессонницей.
✔️Способствует здоровому расслаблению и спокойному сну.
✔️Обеспечивает спокойный, восстанавливающий сон, без вялости и сонливости на следующий день.
✔️Улучшает качество сна и облегчает засыпание.
✔️Успокаивает нервную систему.
✔️Помогает снять стресс.

👇Способы применения👇
Взрослым принимайть 1-2 капсулы перед сном.

⚠️Меры предосторожности

Хранить в недоступном для детей месте. Беременным, кормящим и людям, находящимся под наблюдением врача, необходимо проконсультироваться со своим лечащим врачом. Хранить в прохладном сухом месте.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Копайба в капсулах  ","Описание.
Эфирное масло копайбы традиционно употребляется внутрь для поддержания здоровья сердечно-сосудистой, иммунной, пищеварительной, дыхательной и нервной систем.

При внутреннем применении оно укрепляет нервную систему, оказывает успокаивающее, расслабляющее действие. 

Антиоксидантные свойства копайбы способствуют повышению иммунитета и здоровому функционированию клеток. 

К многочисленным преимуществам копайбы также относится способность улучшать кровообращение и снимать чувство тревоги. Капсулы легко проглатываются, позволяя вам в полной мере получить все преимущества внутреннего применения этого эфирного масла.

Основные преимущества.

*Легко проглатываемые капсулы созданы для удобства внутреннего применения эфирного масла копайбы.

*Обеспечивает поддержку сердечно-сосудистой, иммунной и пищеварительной систем.

*Является мощным антиоксидантом.

*Оказывает успокаивающее действие, укрепляет нервную систему.

*Способствует здоровью дыхательной системы.

*Останавливает воспалительные процессы в организме.

Применение.
Принимайте по1- 2 капсулы в день утро или утро /вечер после еды. Курс приема: 10 дней прием,10 дней перерыв,10 дней прием. При необходимости курс повторить 3-4 раза в год.

Предостережения.
Хранить в сухом, прохладном, недоступном для детей месте. Беременным и людям, находящимся под наблюдением врача, проконсультироваться со лечащим врачом. 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Перец чёрный ","Перец чёрный входит в состав смеси, помогающей избавиться от лишнего веса.

Химический состав: лимонен 13-22%, альфа- бергамотен , сабинен 16%, карриофилен 16-18%, пиперин 5-9%, пиперонал, камфен 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:  

✔️пищеварительное 
✔️повышает аппетит и СМ функцию ЖКТ
✔️антитоксическое 
✔️антибактериальное
✔️тонизирует нервную систему 
✔️активирует кровообращение 
✔️отхаркивающее 
✔️эротизирующее 
✔️местно раздражающее 
✔️антисептическое 
✔️ветрогонное / потогонное / мочегонное 
✔️обезболивающее шее 
✔️жаропонижающее 
✔️спазмолитическое 
✔️согревающее 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️подавленные эмоции 
✔️гордыня 
✔️жизнь в плену иллюзий 
✔️эмоциональная нечеткость 

Развивает: 
✔️мотивация 
✔️мужество 
✔️целостность 
✔️придаёт сил 
✔️подлинность 
✔️самоосознанность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Bone Nutrient Lifetime Complex (Питание для костей)","Комплекс минералов и витаминов, особенно необходимый для здоровья костей у женщин: с подросткового возраста до периода менопаузы включительно. Обеспечивает организм необходимыми структурными элементами для поддержки здоровья опорно-двигательного аппарата, укрепления костей и профилактики остеопороза. Благодаря сочетанию органических компонентов и их сбалансированности обладает высокой степенью биодоступности.

У женщин кости достигают максимальной плотности к тридцати годам. Далее с годами костная масса начинает убывать, и кости становятся более хрупкими. Снижение плотности костей ускоряется у женщин, которые не потребляют с пищей достаточного количества веществ, необходимых для полноценной костной структуры, и при нарушении гормонального баланса (поэтому так важен контроль за метаболитами эстрогенов). 

“Питание для костей” – это комбинация витаминов и минералов, полезных для здоровья костей, среди которых витамины С и D, кальций, магний и другие микроэлементы. Комплекс можно использовать женщинам любого возраста в качестве профилактики дефицита кальция.

Для мужчин данный комплекс будет не менее полезен для поддержки костно-мышечной системы. Более того, комплекс способствует укреплению иммунитета, а благодаря богатству цинка поддерживает здоровье предстательной железы. Также комплекс рекомендуется для детей в периоды интенсивного роста и для укрепления иммунной системы.

Достоинства:

✅ Обеспечивает оптимальный уровень витаминов и минералов, необходимых для развития и поддержания здоровой костной массы и ее плотности.

✅ Обеспечивает 100% кальция и магния от рекомендуемой суточной нормы.

✅ Поддерживает здоровье опорно-двигательного аппарата и общее здоровье на протяжении всей жизни женщины.

✅Содержит минералы в биодоступной форме.


⚠️Предостережения:
Беременные и кормящие женщины, а также люди, имеющие заболевания, перед применением должны проконсультироваться со своим лечащим врачом.

🌿Ингредиенты:
Витамины: С (магния аскорбат), D (холекальциферол и эргокальцтферол), биотин (D-форма); кальций (коралловый), магний (магния хелат и аскорбат), минералы в биоматрице: цинк, медь, марганец, бор.

🍀Вспомогательные ингредиенты: растительная гипро-меллоза, рисовая мука, оливковое масло, стеариновая кислота.

📦 Условия хранения:
Хранить в сухом прохладном месте, в недосягаемости для детей.

❇️ Применение:
Подросткам и взрослым женщинам (мужчинам) по 4 капсулы в день с едой. Или по 2–3 капсулы в день, если вы параллельно принимаете Lifelong Vitality Pack (комплекс Долгожитель).

❌Противопоказания:
Индивидуальная непереносимость.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
" Phytoestrogen Complex (Фитоэстрогены для женского здоровья)","Начиная с ранней юности, почти все функции женского организма контролируются гормонами. Нормальный гормональный уровень имеет решающее значение для здоровья и эмоционального благополучия женщины с подростковых лет и до менопаузы.

Комплекс фитоэстрогенов doTERRA - это смесь стандартизированных растительных фитоэстрогенов, которые мягко и естественно поддерживают гормональный баланс. 

Этот комплекс также содержит концентрированные лигнаны семян льна, которые помогают поддерживать здоровый обмен веществ. 

Правильное питание, тренировки и поддержание гормонального баланса помогают уменьшить неудобства, связанные с ПМС и наступлением менопаузы, и обеспечивают дополнительную поддержку костей, сердца, тканей молочных желез и других структур и функций организма по мере старения женщины.

Почти все функции женского организма контролируются гормонами. 

Гормоны эстроген и прогестерон особенно важны для женщин и оказывают влияние на хорошее самочувствие и эмоциональное благополучие женщины на протяжении всей ее жизни.

Высокая выработка эстрогена у молодых женщин может привести к серьезным проблемам с менструацией, в то время как слишком низкая его выработка по мере старения женщины может повлиять на многие аспекты ее репродуктивного здоровья и стать фактором, вызывающим проблемы со здоровьем, которые испытывают некоторые женщины во время и после менопаузы.

 Поддержание здорового уровня эстрогена помогает минимизировать ежемесячные гормональные колебания и изменения, связанные с менопаузой.
 
Основные преимущества:

✅Снабжает организм дополнительными диетическими фитоэстрогенами, которые помогают установить и поддерживать нормальный гормональный баланс.

✅Поддерживает здоровый метаболизм эстрогенов.

✅Может использоваться в качестве дополнения к программе правильного питания, упражнениям и гормональной терапии, помогая свести к минимуму неудобства, связанные с симптомами ПМС и наступлением менопаузы.

✅Поддерживает здоровье костей, сердца, тканей молочных желез и других структур и функций организма по мере старения женщины.

✅Включает в себя мощный экстракт сои, стандартизированный до 64% содержания изофлавона с минимум 50% генистеина, который, согласно научным исследованиям, чрезвычайно полезен для женского здоровья.

✅Содержит экстракт семян льна, стандартизованный до 40% лигнанов, которые помогают поддерживать здоровый метаболизм эстрогенов.

✅Также этот комплекс содержит стандартизованный экстракт граната, обеспечивающий мощную антиоксидантную поддержку.

✅Полностью натуральный продукт в форме растительных капсул, не содержащих лаурил сульфата.

Способы применения:

✔️Женщинам в предклимактерическом периоде следует принимать 1-2 капсулы ежедневно во время еды или по мере необходимости. 

✔️Женщинам в постклимактерическом периоде принимать 2 капсулы ежедневно во время еды. 

✔️Этот комплекс рекомендуется принимать совместно с комплексом для здоровья костей doTERRA Women Bone Nutrient Essential Complex, смесью эфирных масел doTERRA ClaryCalm и комплексом Lifelong Vitality.

‼️ Меры предосторожности ‼️

Беременным, кормящим и людям, находящимся под наблюдением врача, необходимо проконсультироваться со своим лечащим врачом перед употреблением. 

Не содержит глютен и лактозу. Этот продукт дополняет, но не может быть использован вместо заместительной гормональной терапии.

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.

"
